date,Open,High,Low,Close,Volume
2023-07-28 15:24:00,426.585,426.624,426.342,426.53,9780.0
2023-07-28 15:25:00,426.65,426.775,426.54,426.775,7597.0
2023-07-28 15:26:00,426.79,427.015,426.79,426.89,8523.0
2023-07-28 15:27:00,426.925,426.93,426.76,426.819,4347.0
2023-07-28 15:28:00,426.81,427.0,426.68,426.95,7403.0
2023-07-28 15:29:00,426.974,427.08,426.49,426.51,15759.0
2023-07-28 15:30:00,426.505,426.71,426.479,426.71,11767.0
2023-07-28 15:31:00,426.655,426.655,426.42,426.55,7901.0
2023-07-28 15:32:00,426.49,426.85,426.49,426.85,6646.0
2023-07-28 15:33:00,426.86,427.0,426.855,426.915,8757.0
2023-07-28 15:34:00,426.85,426.85,426.55,426.55,11175.0
2023-07-28 15:35:00,426.56,426.77,426.5,426.5,9351.0
2023-07-28 15:36:00,426.51,426.51,426.25,426.325,10403.0
2023-07-28 15:37:00,426.33,426.41,426.22,426.38,11293.0
2023-07-28 15:38:00,426.31,426.365,426.13,426.325,12023.0
2023-07-28 15:39:00,426.31,426.44,426.16,426.215,9651.0
2023-07-28 15:40:00,426.28,426.45,426.265,426.45,5441.0
2023-07-28 15:41:00,426.39,426.505,426.24,426.29,18928.0
2023-07-28 15:42:00,426.28,426.44,426.25,426.27,6473.0
2023-07-28 15:43:00,426.31,426.32,426.07,426.21,25436.0
2023-07-28 15:44:00,426.28,426.65,426.22,426.615,17421.0
2023-07-28 15:45:00,426.57,426.675,426.32,426.48,11586.0
2023-07-28 15:46:00,426.31,426.76,426.31,426.42,31460.0
2023-07-28 15:47:00,426.45,426.604,426.4,426.53,13219.0
2023-07-28 15:48:00,426.48,426.69,426.4,426.662,8524.0
2023-07-28 15:49:00,426.65,426.705,426.32,426.36,12627.0
2023-07-28 15:50:00,426.3,426.437,426.0,426.36,33088.0
2023-07-28 15:51:00,426.324,426.49,426.205,426.25,15872.0
2023-07-28 15:52:00,426.3,426.54,426.29,426.485,10375.0
2023-07-28 15:53:00,426.44,426.53,426.29,426.3,20104.0
2023-07-28 15:54:00,426.29,426.42,426.15,426.15,30204.0
2023-07-28 15:55:00,426.14,426.46,426.01,426.04,27600.0
2023-07-28 15:56:00,426.01,426.07,425.69,425.89,33149.0
2023-07-28 15:57:00,425.88,426.0,425.34,425.61,53067.0
2023-07-28 15:58:00,425.585,425.83,425.41,425.59,34053.0
2023-07-28 15:59:00,425.59,425.85,425.53,425.78,81207.0
2023-07-28 16:00:00,425.78,425.78,425.37,425.78,913163.0
2023-07-28 16:01:00,425.3,426.0,425.3,425.91,8612.0
2023-07-28 16:02:00,425.91,425.91,425.78,425.78,670.0
2023-07-28 16:03:00,425.8,425.91,425.78,425.78,153.0
2023-07-28 16:04:00,425.845,425.91,425.78,425.78,441.0
2023-07-28 16:05:00,425.79,425.91,425.78,425.85,308.0
2023-07-28 16:06:00,425.79,425.91,425.68,425.845,467.0
2023-07-28 16:07:00,425.845,425.91,425.78,425.78,3256.0
2023-07-28 16:08:00,425.78,425.845,425.78,425.78,16.0
2023-07-28 16:09:00,425.78,425.845,425.78,425.845,5313.0
2023-07-28 16:10:00,425.845,425.91,425.78,425.78,49204.0
2023-07-28 16:11:00,425.8,425.9,425.8,425.84,5.0
2023-07-28 16:12:00,425.9,425.9,425.78,425.85,159.0
2023-07-28 16:13:00,425.78,425.815,425.78,425.8,29.0
2023-07-28 16:14:00,425.85,425.85,425.781,425.815,118.0
2023-07-28 16:15:00,425.85,425.85,425.78,425.78,77.0
2023-07-28 16:16:00,425.88,425.88,425.78,425.81,98.0
2023-07-28 16:17:00,425.85,425.85,425.83,425.85,51.0
2023-07-28 16:18:00,425.85,425.85,425.815,425.815,32.0
2023-07-28 16:19:00,425.815,425.85,425.81,425.81,438.0
2023-07-28 16:20:00,425.84,425.85,425.78,425.84,31.0
2023-07-28 16:21:00,425.84,425.84,425.78,425.78,116.0
2023-07-28 16:22:00,425.7,425.7,425.7,425.7,2.0
2023-07-28 16:23:00,425.78,425.9,425.7,425.7,20.0
2023-07-28 16:24:00,425.78,425.78,425.503,425.66,3455.0
2023-07-28 16:25:00,425.63,425.7,425.5,425.61,33.0
2023-07-28 16:26:00,425.58,425.58,425.501,425.53,91.0
2023-07-28 16:27:00,425.58,425.6,425.5,425.6,92.0
2023-07-28 16:28:00,425.51,425.7,425.5,425.7,38.0
2023-07-28 16:29:00,425.7,425.7,425.6,425.6,51.0
2023-07-28 16:30:00,425.7,425.7,425.52,425.52,7.0
2023-07-28 16:31:00,425.7,425.84,425.6,425.6,152.0
2023-07-28 16:32:00,425.9,425.9,425.5,425.5,6.0
2023-07-28 16:33:00,425.85,425.9,425.54,425.9,379.0
2023-07-28 16:34:00,425.62,425.67,425.62,425.62,118.0
2023-07-28 16:35:00,425.62,425.85,425.51,425.705,273.0
2023-07-28 16:36:00,425.79,425.9,425.69,425.69,89.0
2023-07-28 16:37:00,425.7,425.7,425.63,425.63,5.0
2023-07-28 16:38:00,425.52,425.52,425.52,425.52,1.0
2023-07-28 16:39:00,425.63,425.65,425.51,425.63,7.0
2023-07-28 16:40:00,425.57,425.75,425.57,425.75,227.0
2023-07-28 16:41:00,425.625,425.75,425.625,425.75,4.0
2023-07-28 16:42:00,425.65,425.7,425.65,425.7,302.0
2023-07-28 16:43:00,425.7,425.78,425.7,425.78,257386.0
2023-07-28 16:44:00,425.5,425.79,425.5,425.79,43.0
2023-07-28 16:45:00,425.52,425.71,425.52,425.52,9.0
2023-07-28 16:46:00,425.75,425.75,425.52,425.61,87.0
2023-07-28 16:47:00,425.71,425.71,425.71,425.71,1.0
2023-07-28 16:48:00,425.788,425.9,425.705,425.71,54.0
2023-07-28 16:49:00,425.79,425.79,425.79,425.79,35.0
2023-07-28 16:50:00,425.77,425.79,425.7,425.705,32.0
2023-07-28 16:51:00,425.51,425.51,425.51,425.51,4.0
2023-07-28 16:52:00,425.72,425.72,425.705,425.705,11.0
2023-07-28 16:53:00,425.705,425.9,425.705,425.705,5.0
2023-07-28 16:54:00,425.9,425.9,425.705,425.705,110.0
2023-07-28 16:55:00,425.705,425.84,425.705,425.84,41.0
2023-07-28 16:56:00,425.87,425.9,425.71,425.71,45.0
2023-07-28 16:57:00,425.71,425.72,425.71,425.72,2.0
2023-07-28 16:58:00,425.617,425.72,425.617,425.63,104.0
2023-07-28 16:59:00,425.71,425.71,425.55,425.71,1555.0
2023-07-28 17:00:00,425.71,425.9,425.63,425.71,53.0
2023-07-28 17:01:00,425.72,425.72,425.71,425.71,4.0
2023-07-28 17:02:00,425.81,425.81,425.52,425.71,26.0
2023-07-28 17:03:00,425.75,425.75,425.75,425.75,27.0
2023-07-28 17:04:00,425.6,425.74,425.6,425.705,62.0
2023-07-28 17:05:00,425.74,425.74,425.705,425.705,4.0
2023-07-28 17:06:00,425.6,425.6,425.6,425.6,1.0
2023-07-28 17:07:00,425.6,425.6,425.6,425.6,1.0
2023-07-28 17:08:00,425.65,425.74,425.65,425.74,3.0
2023-07-28 17:09:00,425.65,425.65,425.65,425.65,1.0
2023-07-28 17:10:00,425.65,425.65,425.65,425.65,2.0
2023-07-28 17:11:00,425.52,425.65,425.52,425.65,11.0
2023-07-28 17:12:00,425.65,425.65,425.65,425.65,18.0
2023-07-28 17:13:00,425.65,425.78,425.6,425.78,18.0
2023-07-28 17:14:00,425.6,425.65,425.6,425.65,22.0
2023-07-28 17:15:00,425.65,425.65,425.6,425.65,27.0
2023-07-28 17:16:00,425.7,425.78,425.66,425.66,210.0
2023-07-28 17:17:00,425.75,425.9,425.52,425.71,17.0
2023-07-28 17:18:00,425.79,425.87,425.621,425.87,107.0
2023-07-28 17:19:00,425.52,425.85,425.52,425.85,66.0
2023-07-28 17:20:00,425.9,425.9,425.52,425.71,17.0
2023-07-28 17:21:00,425.78,425.78,425.71,425.71,18109.0
2023-07-28 17:22:00,425.52,425.52,425.52,425.52,1.0
2023-07-28 17:23:00,425.9,425.9,425.52,425.52,31.0
2023-07-28 17:24:00,425.7,425.7,425.7,425.7,1.0
2023-07-28 17:25:00,425.7,425.7,425.52,425.52,2.0
2023-07-28 17:26:00,425.71,425.87,425.7,425.87,12.0
2023-07-28 17:27:00,425.87,425.89,425.715,425.715,3.0
2023-07-28 17:28:00,425.715,425.72,425.53,425.715,11.0
2023-07-28 17:29:00,425.715,425.715,425.715,425.715,1.0
2023-07-28 17:30:00,425.715,425.9,425.715,425.715,229.0
2023-07-28 17:31:00,425.9,425.9,425.715,425.715,16.0
2023-07-28 17:32:00,425.85,425.85,425.615,425.7,82.0
2023-07-28 17:33:00,425.6,425.67,425.53,425.53,8.0
2023-07-28 17:34:00,425.615,425.7,425.615,425.67,108.0
2023-07-28 17:35:00,425.615,425.7,425.6,425.615,14.0
2023-07-28 17:36:00,425.615,425.7,425.615,425.615,83.0
2023-07-28 17:37:00,425.615,425.7,425.53,425.7,46.0
2023-07-28 17:38:00,425.7,425.7,425.615,425.615,17.0
2023-07-28 17:39:00,425.615,425.615,425.615,425.615,1.0
2023-07-28 17:40:00,425.615,425.615,425.615,425.615,3.0
